belongs_to_collection,nro_peliculas,total_revenue,average_revenue
Sleepaway Camp Collection,5,0.0,0.0
The Terminator Collection,5,1845327738.0,369065547.6
The Marine Collection,5,22165608.0,4433121.6
Slayers - Movie Collection,5,0.0,0.0
Six Degrees of Celebration Collection,5,22772019.0,4554403.8
Die Hard Collection,5,1435086362.0,287017272.4
Dirty Harry Collection,5,189622693.0,37924538.6
The Twilight Collection,5,3342107290.0,668421458.0
The Adventures of Antoine Doinel,5,0.0,0.0
Shrek Collection,5,2955807008.0,591161401.6
Dr. Dolittle Collection,5,470560949.0,94112189.8
Dragon Ball Z OVA Collection,5,0.0,0.0
Bring It On Collection,5,90449929.0,18089985.8
The Jack Ryan Collection,5,836688411.0,167337682.2
Fist of the North Star: The Legends of the True Savior,5,862.0,172.4
Transformers Collection,5,4366101244.0,873220248.8
Return of the Living Dead Collection,5,23497131.0,4699426.2
Osobennosti Natsionalnoy ... - Collection,5,0.0,0.0
Air Bud Collection,5,33368615.0,6673723.0
Prom Night Collection,5,32275991.0,6455198.2
Underworld Collection,5,539608743.0,107921748.6
Mission: Impossible Collection,5,2778977995.0,555795599.0
Planet of the Apes Original Collection,5,83288644.0,16657728.8
Mythica Collection,5,0.0,0.0
National Lampoon's Vacation Collection,5,322868721.0,64573744.2
Vääpeli Körmy - Collection,5,0.0,0.0
Pirates of the Caribbean Collection,5,4521576826.0,904315365.2
Tremors Collection,5,48572000.0,9714400.0
Phantasm Collection,5,19271320.0,3854264.0
American Ninja Collection,5,10499694.0,2099938.8
The Olsen Gang Collection,4,0.0,0.0
American Pie (Spin-off) Collection,4,0.0,0.0
Tales of the Four Seasons,4,0.0,0.0
Deathstalker Collection,4,8890685.0,2222671.25
The Nancy Drew Collection (Bonita Granville),4,0.0,0.0
Poison Ivy Collection,4,0.0,0.0
American Pie Collection,4,989475386.0,247368846.5
Alvin and the Chipmunks Collection,4,1380957626.0,345239406.5
Werner Collection,4,0.0,0.0
The Mummy (Hammer Series),4,0.0,0.0
Taxi Collection,4,126491626.0,31622906.5
The Omen Collection,4,107912717.0,26978179.25
Anaconda Collection,4,207878665.0,51969666.25
House Collection,4,9538897.0,2384724.25
House Party Collection,4,26386000.0,6596500.0
Cinderella Story Collection,4,70067909.0,17516977.25
Species Collection,4,132539663.0,33134915.75
The Sinbad Collection,4,27000000.0,6750000.0
The Scorpion King Collection,4,165333180.0,41333295.0
Spy Kids Collection,4,550233830.0,137558457.5
St. Trinian's Collection,4,0.0,0.0
Confessions Collection,4,0.0,0.0
Iron Eagle Collection,4,0.0,0.0
Corto Maltese,4,0.0,0.0
Star Trek: The Next Generation Collection,4,455312826.0,113828206.5
Critters Collection,4,16980525.0,4245131.25
Indiana Jones Collection,4,1983733810.0,495933452.5
Starship Troopers Collection,4,121214377.0,30303594.25
"Ilsa, She Wolf of the SS Collection",4,0.0,0.0
The Prophecy Collection,4,16.0,4.0
Street Fighter Collection,4,0.0,0.0
Trancers Collection,4,0.0,0.0
TekWar Collection,4,0.0,0.0
Alien Collection,4,610021801.0,152505450.25
Diary of a Wimpy Kid Collection,4,265350212.0,66337553.0
Nemesis Collection,4,0.0,0.0
The Chronicles of Riddick Collection,4,267297687.0,66824421.75
Futurama Collection,4,0.0,0.0
Fu Manchu Collection,4,0.0,0.0
3 Ninjas Collection,4,0.0,0.0
The Gamers Collection,4,0.0,0.0
The Crow Collection,4,111917287.0,27979321.75
[REC] Collection,4,59265680.0,14816420.0
Open Season Collection,4,197309027.0,49327256.75
The Cutting Edge Collection,4,25105517.0,6276379.25
Nuke 'Em High Collection,4,0.0,0.0
The Dick Proenneke Collection,4,0.0,0.0
The Dirty Dozen Collection,4,45300000.0,11325000.0
One Missed Call Collection,4,0.0,0.0
Fievel Collection,4,125308043.0,31327010.75
Once Upon a Time in China Collection,4,61766696.0,15441674.0
The Doctor Series,4,0.0,0.0
Final Fantasy Collection,4,85401810.0,21350452.5
"Ninja, Band of Assassins Collection",4,0.0,0.0
Ghoulies Collection,4,35000000.0,8750000.0
The Magnificent Seven Collection,4,4905000.0,1226250.0
The Hunger Games Collection,4,2944162634.0,736040658.5
Meatballs Collection,4,0.0,0.0
Harry Palmer Collection,4,0.0,0.0
The Lion King Collection,4,788241776.0,197060444.0
Hamilton Collection,4,3142763.0,785690.75
Halloweentown Collection,4,0.0,0.0
Airport Collection,4,190504839.0,47626209.75
Hababam Sınıfı Collection,4,0.0,0.0
Paranormal Investigations Collection,4,0.0,0.0
Dracula (Universal Series),4,1012189.0,253047.25
Dragon Ball Collection,4,0.0,0.0
Wishmaster Collection,4,15719109.0,3929777.25
The Karate Kid Collection,4,260702809.0,65175702.25
DragonHeart Collection,4,115267375.0,28816843.75
The Jaws Collection,4,798406075.0,199601518.75
The Benji Collection,4,0.0,0.0
Eating Out Series,4,0.0,0.0
Naruto Collection,4,17322136.0,4330534.0
Vixens Collection,4,6000000.0,1500000.0
Mothra Collection,4,0.0,0.0
Bionicle Collection,4,0.0,0.0
Asterix and Obelix Collection,4,245671613.0,61417903.25
Killer Tomatoes! Collection,4,0.0,0.0
Scanners Collection,4,28451752.0,7112938.0
Rambo Collection,4,727873237.0,181968309.25
RoboCop Collection,4,352066348.0,88016587.0
Casper Collection,4,287928194.0,71982048.5
Lethal Weapon Collection,4,955237243.0,238809310.75
The Whistler collection,4,0.0,0.0
Simon Brenner Collection,4,0.0,0.0
Ator Collection,4,0.0,0.0
Flatfoot Collection,4,0.0,0.0
Sharknado Collection,4,0.0,0.0
Caprona Collection,4,0.0,0.0
Rudolph the Red-Nosed Reindeer Collection,4,0.0,0.0
The Toxic Avenger Collection,4,0.0,0.0
The Wolf Man (Universal Series),4,0.0,0.0
The Transporter Collection,4,310705790.0,77676447.5
Atlas Shrugged Collection,4,5474079.0,1368519.75
Lilo & Stitch Collection,4,145771527.0,36442881.75
Ringu Collection,4,27377073.0,6844268.25
Revenge of the Nerds Collection,4,22642033.0,5660508.25
Scream Collection,4,604382926.0,151095731.5
Bloodsport Collection,4,12490470.0,3122617.5
Madagascar Collection,4,2257054393.0,564263598.25
Scooby-Doo Collection,4,457117536.0,114279384.0
Justice League (Animated) Collection,4,5155325.0,1288831.25
The Visitors Collection,4,0.0,0.0
Batman Collection,4,1266085190.0,316521297.5
Mad Max Collection,4,539689391.0,134922347.75
Undisputed Collection,4,12398628.0,3099657.0
Jurassic Park Collection,4,3031484143.0,757871035.75
Behind Enemy Lines Collection,4,91753202.0,22938300.5
Shaft Collection,4,130776116.0,32694029.0
Billy Jack Collection,4,36000000.0,9000000.0
Lonesome Dove Collection,4,0.0,0.0
Recep İvedik Serisi,4,154851495.0,38712873.75
The Blue Lagoon collection,3,61660960.0,20553653.333333332
The Boogeyman Collection,3,67192859.0,22397619.666666668
Legend of the Galactic Heroes Collection,3,0.0,0.0
Love in the City Collection,3,19310550.0,6436850.0
Lost Boys Collection,3,32222567.0,10740855.666666666
Ginger Snaps Collection,3,0.0,0.0
