belongs_to_collection,nro_peliculas,total_revenue,average_revenue
Zorro Collection,3,392688588.0,130896196.0
Thou Shalt Laugh Collection,3,0.0,0.0
Zenon Collection,3,0.0,0.0
Fantomas Collection,3,0.0,0.0
Zeitgeist Collection,3,0.0,0.0
The Work and the Glory Collection,3,6697771.0,2232590.3333333335
The Hangover Collection,3,1075726677.0,358575559.0
Class of 1999 Collection,3,2459895.0,819965.0
Beverly Hills Chihuahua Collection,3,161281606.0,53760535.333333336
Aladdin Collection,3,504050219.0,168016739.66666666
Topper Collection,3,0.0,0.0
Dungeons & Dragons Collection,3,15185241.0,5061747.0
Wild Things Collection,3,67200000.0,22400000.0
Dumb and Dumber Collection,3,456379899.0,152126633.0
The Vengeance Collection,3,40738250.0,13579416.666666666
Before... Collection,3,32704489.0,10901496.333333334
The Hobbit Collection,3,2935523356.0,978507785.3333334
Drunken Master Collection,3,0.0,0.0
Toy Story Collection,3,1937890605.0,645963535.0
The Klapisch Trilogy,3,27625100.0,9208366.666666666
Alex Cross Collection,3,196059666.0,65353222.0
All Dogs Go to Heaven Collection,3,35720705.0,11906901.666666666
Dracula 2000 Collection,3,33000337.0,11000112.333333334
Berserk: Golden Age Arc,3,0.0,0.0
Easy Money Collection,3,0.0,0.0
The Incredible Hulk (TV Movie) Collection,3,0.0,0.0
Aki Kaurismäki's Finland trilogy,3,1615018.0,538339.3333333334
The Wolverine Collection,3,1405305345.0,468435115.0
The Human Centipede Collection,3,0.0,0.0
Whispering Corridors Collection,3,0.0,0.0
Elements Trilogy,3,11452892.0,3817630.6666666665
Addams Family Collection,3,240421469.0,80140489.66666667
The Human Condition,3,0.0,0.0
Witch Mountain Collection,3,36393000.0,12131000.0
Willard,3,0.0,0.0
Winnie-the-Pooh (Russian),3,0.0,0.0
Whistling Collection,3,0.0,0.0
Bridget Jones Collection,3,534085235.0,178028411.66666666
Trilogia Zé do Caixão,3,0.0,0.0
Alienation Trilogy,3,0.0,0.0
Trainspotting Collection,2,57903789.0,28951894.5
Running Out Of Time Collection,2,0.0,0.0
Twitches Collection,2,0.0,0.0
"To Sir, with Love Collection",2,0.0,0.0
Ringo Collection,2,0.0,0.0
Save The Last Dance Collection,2,91038276.0,45519138.0
Trapped in the Closet,2,0.0,0.0
Rio Collection,2,984824195.0,492412097.5
SPL Collection,2,0.0,0.0
Ride Along Collection,2,278825135.0,139412567.5
Rocky Horror Collection,2,112892319.0,56446159.5
Saturday Night Fever Collection,2,302005854.0,151002927.0
Saheb Biwi Aur Gangster Collection,2,0.0,0.0
Sammy's Adventure Collection,2,0.0,0.0
Romancing the Stone Collection,2,183345438.0,91672719.0
Tooth Fairy Collection,2,112462508.0,56231254.0
Trilogy of Terror Collection,2,0.0,0.0
Trilogía Sollima,2,0.0,0.0
Tomb Raider Collection,2,431208728.0,215604364.0
Rosemary's Baby Collection,2,33395426.0,16697713.0
Santa Baby Collection,2,0.0,0.0
Trylogia Sienkiewicza,2,0.0,0.0
Santas Paw,2,0.0,0.0
Torchy Blane,2,0.0,0.0
Robert,2,0.0,0.0
Trilogy Marseillaise,2,0.0,0.0
Tom Thorne Collection,2,0.0,0.0
Sarkar Collection,2,5900000.0,2950000.0
Tognazzi & Vianello Collection,2,0.0,0.0
Road Trip Collection,2,119754278.0,59877139.0
Turbulence Collection,2,11466088.0,5733044.0
The Emigrants Collection,2,0.0,0.0
USA: Land of Opportunities Collection,2,17355754.0,8677877.0
Pet Sematary Collection,2,74561920.0,37280960.0
Without a Paddle Collection,2,69631118.0,34815559.0
Witchcraft Collection,2,0.0,0.0
Winnetou Collection,2,0.0,0.0
Parasyte Collection,2,0.0,0.0
Patlabor Collection,2,0.0,0.0
Penitenciaría - Colección,2,0.0,0.0
Percy Jackson Collection,2,401075960.0,200537980.0
Peter Pan Collection,2,197267333.0,98633666.5
Wolf Creek Collection,2,37393092.0,18696546.0
Philo & Clyde Collection,2,70687429.0,35343714.5
Philo Vance Collection,2,0.0,0.0
Phobia Collection,2,0.0,0.0
Why Did I Get Married Collection,2,115257317.0,57628658.5
White Noise Collection,2,91196419.0,45598209.5
Piranha 3D Collection,2,91681893.0,45840946.5
White Fang Collection,2,34793160.0,17396580.0
Wizards of Waverly Place Collection,2,0.0,0.0
Panda! Go Panda! Collección,2,0.0,0.0
Ultimate Avengers Collection,2,14600000.0,7300000.0
Zoolander Collection,2,116749981.0,58374990.5
On Any Sunday Collection,2,0.0,0.0
Что Творят мужчины! (Коллекция),2,0.0,0.0
Облако-рай (Коллекция),2,0.0,0.0
Ирония судьбы (Коллекция),2,55635037.0,27817518.5
ДухLess (Коллекция),2,13218980.0,6609490.0
Onomichi Trilogy,2,0.0,0.0
Open Water Collection,2,54667954.0,27333977.0
Zapped Collection,2,0.0,0.0
World of Watches Collection,2,70862717.0,35431358.5
Ouija Collection,2,185296017.0,92648008.5
Our Man Flint Collection,2,0.0,0.0
Young Guns Collection,2,44726644.0,22363322.0
Yossi Collection,2,116207.0,58103.5
Outrage Collection,2,0.0,0.0
"Pagnol, Childhood's Memories",2,0.0,0.0
Painted Skin Collection,2,0.0,0.0
Piranha Collection,2,0.0,0.0
Pitch Perfect Collection,2,402856620.0,201428310.0
Planes Collection,2,370954499.0,185477249.5
Race Collection,2,0.0,0.0
Pumping Iron Collection,2,0.0,0.0
Pumpkinhead Collection,2,4385516.0,2192758.0
Vampires Collection,2,0.0,0.0
Vampire Hunter D Collection,2,0.0,0.0
Quarantine Collection,2,40855419.0,20427709.5
Vacancy Collection,2,35300645.0,17650322.5
RED Collection,2,71664962.0,35832481.0
V: The Collection,2,0.0,0.0
What the Bleep! Collection,2,10138913.0,5069456.5
Unstable Fables Collection,2,0.0,0.0
Red Cliff Collection,2,248873834.0,124436917.0
Reeker Collection,2,0.0,0.0
Unna Trilogie,2,0.0,0.0
Under Siege Collection,2,260887222.0,130443611.0
Un éléphant ça trompe énormément,2,0.0,0.0
Rest Stop Collection,2,0.0,0.0
Vampires Suck Collection,2,80547866.0,40273933.0
Van Helsing Collection,2,300257475.0,150128737.5
Pulse Collection,2,29907685.0,14953842.5
Psy Collection,2,0.0,0.0
Westworld Collection,2,0.0,0.0
Weekend at Bernie's Collection,2,30218387.0,15109193.5
Pocahontas Collection,2,346079773.0,173039886.5
We Were Here,2,0.0,0.0
We Are From The Future Collection,2,8910819.0,4455409.5
Wayne's World Collection,2,169662323.0,84831161.5
WarGames Collection,2,79567667.0,39783833.5
War of the Worlds Collection,2,0.0,0.0
Power Rangers Collection,2,83979739.0,41989869.5
Wallander (Rolf Lassgård),2,0.0,0.0
Wall Street Collection,2,178596090.0,89298045.0
Project A Collection,2,0.0,0.0
Walking Tall Original Collection,2,0.0,0.0
Prometheus Collection,2,635550385.0,317775192.5
Prudence et Bélisaire Beresford Collection,2,0.0,0.0
Waiting Collection,2,18637690.0,9318845.0
Sinister Collection,2,130594457.0,65297228.5
Timecop Collection,2,101646581.0,50823290.5
The Lone Ranger (Clayton Moore) Collection,2,0.0,0.0
The Lego Movie Collection,2,781111076.0,390555538.0
The Legend Collection,2,6924581.0,3462290.5
The Lawnmower Man Collection,2,34510225.0,17255112.5
The Amazing Colossal Man Duology,2,0.0,0.0
The Amazing Spider-Man Collection,2,1457933289.0,728966644.5
The Last Picture Show Collection,2,29133000.0,14566500.0
The Last Exorcism Collection,2,82917392.0,41458696.0
The Angel Collection,2,0.0,0.0
The Apple Dumpling Gang Collection,2,0.0,0.0
The Are We Collection,2,97918663.0,48959331.5
The Arrival Collection,2,14048372.0,7024186.0
The Kingdom,2,0.0,0.0
The Aum Shinrikyo Collection,2,0.0,0.0
The Avengers Collection,2,2924961604.0,1462480802.0
The Jungle Book Collection,2,341523612.0,170761806.0
The Jake Gittes Collection,2,40000000.0,20000000.0
The Best Man Collection,2,106198975.0,53099487.5
The Bill Douglas Trilogy,2,0.0,0.0
The Black Stallion Collection,2,47599643.0,23799821.5
The Little Polar Bear Collection,2,0.0,0.0
Texas Chainsaw (Reboot) Collection,2,107071655.0,53535827.5
The Inbetweeners Collection,2,88025781.0,44012890.5
The Lost Skeleton Collection,2,0.0,0.0
The Nutty Professor Collection,2,252077290.0,126038645.0
Tangled Collection,2,591794936.0,295897468.0
Tanu Weds Manu Collection,2,252000.0,126000.0
Tarzan (Gordon Scott series),2,0.0,0.0
Tarzan (Lex Barker series),2,0.0,0.0
The Moment After Collection,2,0.0,0.0
Ted Collection,2,766390903.0,383195451.5
Teen Beach Collection,2,0.0,0.0
Teen Titans Collection,2,0.0,0.0
Teen Wolf Collection,2,0.0,0.0
The Messengers Collection,2,1109660.0,554830.0
The Mesrine Collection,2,31055440.0,15527720.0
The Maze Runner Collection,2,659576787.0,329788393.5
Teenage Mutant Ninja Turtles (Remake) Collection,2,722823848.0,361411924.0
The Mask Collection,2,351583407.0,175791703.5
The Man with the Iron Fists Collection,2,15608545.0,7804272.5
Ten Minutes Older... (Collection),2,0.0,0.0
Tengen Toppa Gurren Lagann Collection,2,0.0,0.0
The Man From Snowy River Collection,2,20659423.0,10329711.5
The Blob Collection,2,0.0,0.0
The Hustler Collection,2,59893982.0,29946991.0
Tai Chi Collection,2,0.0,0.0
The Conjuring Collection,2,638170149.0,319085074.5
The Crossing Collection,2,0.0,0.0
The Gidget Collection,2,0.0,0.0
The Gate Collection,2,0.0,0.0
The Fugitive / U.S. Marshals Collection,2,471243165.0,235621582.5
The Fox and the Hound Collection,2,29800000.0,14900000.0
The Foreigner Collection,2,0.0,0.0
The Fly Collection,2,99532338.0,49766169.0
The Dead Collection,2,0.0,0.0
The Flintstones (Live-Action) Collection,2,401099483.0,200549741.5
The Decline of Western Civilization Collection,2,0.0,0.0
The Flicka Collection,2,0.0,0.0
The Dentist Collection,2,0.0,0.0
The Descent Collection,2,0.0,0.0
The Female Prisoner Series,2,0.0,0.0
Olympia,2,0.0,0.0
The Falcon Series,2,0.0,0.0
The Endless Summer Collection,2,0.0,0.0
The Emperor's New Groove Collection,2,169327687.0,84663843.5
The Dukes Of Hazzard Collection,2,110803676.0,55401838.0
The Crimson Rivers Collection,2,0.0,0.0
The Condemned Collection,2,8642858.0,4321429.0
The Huntsman Collection,2,561202163.0,280601081.5
The Comics Collection,2,0.0,0.0
The Hunters Collection,2,0.0,0.0
The Blues Brothers Collection,2,129281274.0,64640637.0
The Hunchback of Notre Dame Collection,2,100138851.0,50069425.5
The Boondock Saints Collection,2,10659792.0,5329896.0
The Hitcher (1986) Collection,2,5844868.0,2922434.0
The Hills Have Eyes (Reboot) Collection,2,69623713.0,34811856.5
The Hills Have Eyes (Original) Collection,2,25000000.0,12500000.0
The Brady Bunch Collection,2,0.0,0.0
The Haunting in Connecticut Collection,2,77527732.0,38763866.0
The Happy Hooker Collection,2,0.0,0.0
The Bremen Town Musicians (Collection),2,0.0,0.0
The Bridge,2,0.0,0.0
The Hamiltons Collection,2,0.0,0.0
The Guyver Collection,2,0.0,0.0
The Cell Collection,2,104155843.0,52077921.5
The Gremlins Collection,2,194565309.0,97282654.5
The Collector Collection,2,120842058.0,60421029.0
The Gorky Collection,2,0.0,0.0
The Comedians Of Comedy Collection,2,0.0,0.0
The Odd Couple Collection,2,44527234.0,22263617.0
TRON Collection,2,433062763.0,216531381.5
Thunderbirds (Animation) Collection,2,0.0,0.0
Sherlock Holmes Collection,2,858643679.0,429321839.5
The Vampire Chronicles,2,269143718.0,134571859.0
Short Circuit Collection,2,62327849.0,31163924.5
The Underdog Knight Collection,2,0.0,0.0
The Ultimate Collection,2,0.0,0.0
The Twins Effect Collection,2,0.0,0.0
Silent Hill Collection,2,149910249.0,74955124.5
Sin City Collection,2,198141436.0,99070718.0
Singham Collection,2,25034000.0,12517000.0
Single White Female Collection,2,48017402.0,24008701.0
The Durango Kid,2,0.0,0.0
Sister Act Collection,2,288924179.0,144462089.5
The Three Brothers Collection,2,0.0,0.0
Ski School Collection,2,0.0,0.0
The Thing Collection,2,47758430.0,23879215.0
Sleuth Collection,2,342835.0,171417.5
The Tall Blond Man Collection,2,0.0,0.0
Smokin' Aces Collection,2,57103895.0,28551947.5
The Streetfighter Collection,2,0.0,0.0
The Sting Collection,2,165963399.0,82981699.5
Sherlock Holmes: The Golden Years Collection,2,0.0,0.0
The War of Flower Collection,2,0.0,0.0
The Spiders Serial,2,0.0,0.0
She Collection,2,0.0,0.0
Thumbs! Collection,2,0.0,0.0
Three Steps Above Heaven Collection,2,0.0,0.0
Screamers Collection,2,5781885.0,2890942.5
Thor Collection,2,1093898020.0,546949010.0
Scuola di ladri - Collezione,2,0.0,0.0
See No Evil Collection,2,0.0,0.0
Seven Dwarfs Collection,2,0.0,0.0
Seventh Company Collection,2,0.0,0.0
Sex and Zen Collection,2,396003.0,198001.5
Think Like a Man Collection,2,166251935.0,83125967.5
Sex and the City Collection,2,703600478.0,351800239.0
Shadow Boxing Collection,2,19434733.0,9717366.5
The X-Files Collection,2,257567747.0,128783873.5
Shanghai Noon Collection,2,145255792.0,72627896.0
The Woman in Black Collection,2,154232059.0,77116029.5
The Wog Boy Collection,2,0.0,0.0
The Wild Geese Collection,2,0.0,0.0
The Whole Nine/Ten Yards Collection,2,132527432.0,66263716.0
The Water of the Hills Collection,2,0.0,0.0
The Stepfather Collection,2,1519796.0,759898.0
The Space Odyssey Series,2,109100657.0,54550328.5
Síť (kolekce),2,110627965.0,55313982.5
The Raid Collection,2,6732396.0,3366198.0
State Property Collection,2,3798544.0,1899272.0
Steal This Film Collection,2,0.0,0.0
Stepford Collection,2,0.0,0.0
The Protector Collection,2,30468044.0,15234022.0
Stir of Echoes Collection,2,21133087.0,10566543.5
Stray Cat Rock Collection,2,0.0,0.0
Street Fighter,2,112187722.0,56093861.0
The Princess Diaries Collection,2,260484588.0,130242294.0
Street Kings Collection,2,65569869.0,32784934.5
The President's Man Collection,2,0.0,0.0
The Poseidon Adventure Collection,2,84563118.0,42281559.0
The Pink Panther (Steve Martin) Collection,2,75871032.0,37935516.0
Sugata Sanshirō Collection,2,0.0,0.0
Sunes samtliga Resor,2,0.0,0.0
The Party Collection,2,0.0,0.0
The Paleface Collection,2,0.0,0.0
Superman / Batman (Animated) Collection,2,0.0,0.0
The Pact Collection,2,0.0,0.0
Swamp Thing Collection,2,192816.0,96408.0
Star Wars: The Ewok Adventures Collection,2,0.0,0.0
The Rescuers Collection,2,118647330.0,59323665.0
The Sorority House Massacre Collection,2,0.0,0.0
The Riffs Trilogy,2,0.0,0.0
Snow Collection,2,0.0,0.0
Space Chimps Collection,2,63800345.0,31900172.5
Space Dogs,2,6500000.0,3250000.0
The Sisterhood of the Traveling Pants Collection,2,83405478.0,41702739.0
The Sheriff and the Satellite Kid Collection,2,0.0,0.0
Speed Collection,2,514956211.0,257478105.5
The Shaggy Dog Collection,2,0.0,0.0
Spiders - Collection,2,0.0,0.0
The Shadow Collection,2,48063435.0,24031717.5
The Sentimental Swordsman Collection,2,0.0,0.0
The Secret Of NIMH Collection,2,14665733.0,7332866.5
Splash Collection,2,69821334.0,34910667.0
SpongeBob Collection,2,451755824.0,225877912.0
The Secret Garden Collection,2,0.0,0.0
Stake Land Collection,2,33245.0,16622.5
Stakeout Collection,2,0.0,0.0
The Saint Collection,2,118063304.0,59031652.0
Star Crash Collection,2,0.0,0.0
The Rutles Collection,2,0.0,0.0
Omega Code Series,2,2400000.0,1200000.0
... Has Fallen Collection,2,366780087.0,183390043.5
식객 시리즈,2,0.0,0.0
Born To Race Collection,2,0.0,0.0
Goon Collection,2,6483963.0,3241981.5
Bon Cop Bad Cop Collection,2,12671300.0,6335650.0
Gor Collection,2,0.0,0.0
Grave Encounters Collection,2,0.0,0.0
Grease Collection,2,196985246.0,98492623.0
Grey Gardens Collection,2,0.0,0.0
Grindhouse Collection,2,25037897.0,12518948.5
Grown Ups Collection,2,518414467.0,259207233.5
Blue Crush Collection,2,51842679.0,25921339.5
Grumpy Old Men Collection,2,0.0,0.0
Guardians of the Galaxy Collection,2,1636744770.0,818372385.0
Guinea Pig Collection,2,0.0,0.0
Blue Collar Comedy Tour Collection,2,604856.0,302428.0
Gwendolyn Shepherd Collection,2,0.0,0.0
Half Past Dead Collection,2,0.0,0.0
Bleach (Collection),2,0.0,0.0
Halloween (Rob Zombie Series) Collection,2,119675375.0,59837687.5
Happily N'Ever After Collection,2,38085778.0,19042889.0
Happy Feet Collection,2,534742074.0,267371037.0
"Hard Revenge, Milly Collection",2,0.0,0.0
Hard Target Collection,2,74189677.0,37094838.5
Hardbodies Collection,2,0.0,0.0
Hate Story Collection,2,0.0,0.0
Blacula Collection,2,0.0,0.0
Havoc Collection,2,0.0,0.0
Born Free Trilogy,2,0.0,0.0
God's Not Dead Collection,2,53296567.0,26648283.5
Jingle All the Way Collection,2,129832389.0,64916194.5
Borsalino Collection,2,3.0,1.5
Fright Night Collection,2,27906021.0,13953010.5
Fritz the Cat Collection,2,0.0,0.0
Frosty the Snowman Collection,2,0.0,0.0
Frozen Collection,2,1274219009.0,637109504.5
Fubar Collection,2,0.0,0.0
Fuga de cerebros - Collection,2,0.0,0.0
Fullmetal Alchemist Collection,2,7401480.0,3700740.0
G.I. Joe (Live-Action) Collection,2,674345295.0,337172647.5
Brother Bear Collection,2,0.0,0.0
Brooklyn Cigar Store Collection,2,9624430.0,4812215.0
Gamma One Collection,2,0.0,0.0
Brice Collection,2,0.0,0.0
Breakin' Collection,2,0.0,0.0
Gantz Collection,2,0.0,0.0
Brancaleone Collection,2,1314230.0,657115.0
Garfield Collection,2,342506798.0,171253399.0
Garfield Holiday Celebrations,2,0.0,0.0
Gasland Collection,2,0.0,0.0
Boys Love Collection,2,0.0,0.0
Gator Collection,2,0.0,0.0
George of the Jungle Collection,2,0.0,0.0
Get Smart Collection,2,0.0,0.0
Ghost Rider Collection,2,377955748.0,188977874.0
Ghost in the Shell: Stand Alone Complex,2,0.0,0.0
Girl's on Top Collection,2,0.0,0.0
"Heaven, Hell and Purgatory Collection",2,0.0,0.0
Heavy Metal Collection,2,0.0,0.0
Birdemic Collection,2,0.0,0.0
Hellboy Collection,2,259707050.0,129853525.0
Battlestar Galactica (Reboot) Collection,2,0.0,0.0
Battle Royale Collection,2,25000000.0,12500000.0
How to Train Your Dragon Collection,2,1104001807.0,552000903.5
I Am Curious Collection,2,0.0,0.0
Batman: The Dark Knight Returns Collection,2,0.0,0.0
Batman Beyond Collection,2,0.0,0.0
Daffy Duck Movie Collection,2,0.0,0.0
If I Were You Collection,2,0.0,0.0
If These Walls Could Talk Collection,2,0.0,0.0
Barefoot Gen Collection,2,0.0,0.0
Barbie Mariposa Collection,2,0.0,0.0
Barbie A Mermaid Tale Collection,2,31930745.0,15965372.5
Barbarian Queen Collection,2,0.0,0.0
"Impy, the small dinosaur Collection",2,0.0,0.0
In China They Eat Dogs Collection,2,0.0,0.0
Independence Day Collection,2,1206651203.0,603325601.5
Inoshika Ocho series,2,0.0,0.0
Inspector Gadget Collection,2,0.0,0.0
Into the Blue Collection,2,44434439.0,22217219.5
Bananas!* Collection,2,0.0,0.0
Ironclad Collection,2,0.0,0.0
Bambi Collection,2,267447150.0,133723575.0
Ivan The Terrible Collection,2,0.0,0.0
Jack Frost Collection,2,0.0,0.0
Jack Reacher Collection,2,380486671.0,190243335.5
Beastmaster Collection,2,14925853.0,7462926.5
Beauty and the Beast Collection,2,377350553.0,188675276.5
House on Haunted Hill Collection,2,40846082.0,20423041.0
Bill & Ted's Most Excellent Collection,2,40485039.0,20242519.5
Henry: Portrait of a Serial Killer Collection,2,0.0,0.0
Hera Pheri Collection,2,0.0,0.0
Hercules (Lou Ferrigno) Collection,2,10676194.0,5338097.0
Herr Lehmann Filmreihe,2,0.0,0.0
Hidden Collection,2,0.0,0.0
Billa Collection,2,0.0,0.0
Hitman Collection,2,181933203.0,90966601.5
Hollow Man Collection,2,190213455.0,95106727.5
Homeward Bound Collection,2,32709423.0,16354711.5
Hoodwinked! Collection,2,64575616.0,32287808.0
Hooked Collection,2,5998765.0,2999382.5
Hornblower Collection,2,0.0,0.0
House of the Dead Collection,2,13818181.0,6909090.5
Horrible Bosses Collection,2,224670357.0,112335178.5
Big Man Collection,2,0.0,0.0
Bhoothnath Collection,2,0.0,0.0
Best of the Best Collection,2,6500000.0,3250000.0
Hot Shots! Collection,2,314848989.0,157424494.5
Best Exotic Marigold Hotel Collection,2,222814422.0,111407211.0
Hot Tub Time Machine Collection,2,76886913.0,38443456.5
Benvenuti al... Collection,2,100584679.0,50292339.5
Hotel Transylvania Collection,2,831602561.0,415801280.5
Belle et Sébastien,2,0.0,0.0
House of 1000 Corpses Collection,2,16829545.0,8414772.5
Fright Night (Reboot) Collection,2,24922237.0,12461118.5
French Connection Collection,2,53643201.0,26821600.5
Brother Collection,2,0.0,0.0
El pico - Colección,2,2264522.0,1132261.0
Dick Tracy 1940s Collection,2,0.0,0.0
Die Fritz Lang Indien-Edition,2,0.0,0.0
Count Yorga Collection,2,0.0,0.0
Die Nibelungen Collection,2,0.0,0.0
Contracted Collection,2,0.0,0.0
Dirty Dancing Collection,2,241639290.0,120819645.0
District 13 Collection,2,18370506.0,9185253.0
Django - Original films,2,17277.0,8638.5
Dolemite Collection,2,0.0,0.0
Dolphin Tale Collection,2,147828930.0,73914465.0
Don Collection,2,0.0,0.0
Cocoon Collection,2,110338043.0,55169021.5
Cloudy with a Chance of Meatballs Collection,2,491373087.0,245686543.5
Dorm Daze Collection,2,263941.0,131970.5
Dr Goldfoot Collection,2,0.0,0.0
Clint Eastwood's Iwo Jima Collection,2,134573477.0,67286738.5
Dr. Phibes Collection,2,0.0,0.0
Dr. Who Collection,2,0.0,0.0
Clerks Collection,2,30039506.0,15019753.0
Dream a Little Dream Collection,2,0.0,0.0
Clash of the Titans Collection,2,533713139.0,266856569.5
City Slickers Collection,2,179033791.0,89516895.5
East is East Collection,2,32067000.0,16033500.0
Circuitry Man Collection,2,0.0,0.0
Eddie and the Cruisers Collection,2,4786789.0,2393394.5
Cowgirls n' Angels Collection,2,120680.0,60340.0
Dhamaal Collection,2,0.0,0.0
Crank Collection,2,77491618.0,38745809.0
Cyborg Cop Trilogy,2,0.0,0.0
Dark Woods Collection,2,0.0,0.0
Dark World Collection,2,2118871.0,1059435.5
Darko Collection,2,5370522.0,2685261.0
Das Sams Collection,2,0.0,0.0
Davy Crockett Collection,2,0.0,0.0
Dead Rising Collection,2,0.0,0.0
Dead Snow Collection,2,2022135.0,1011067.5
Dead Space Collection,2,0.0,0.0
Daddy Day Camp Collection,2,182631265.0,91315632.5
Dabangg Collection,2,0.0,0.0
DC Super Hero Girls Collection,2,0.0,0.0
Death Race Original Collection,2,8000000.0,4000000.0
Deuce Bigalow Collection,2,87935221.0,43967610.5
Decoys Collection,2,0.0,0.0
Demetrius Filmreihe,2,36000000.0,18000000.0
Demons Collection,2,0.0,0.0
Dennis the Menace Collection,2,117270765.0,58635382.5
Descendants Collection,2,0.0,0.0
"Crouching Tiger, Hidden Dragon Collection",2,213525736.0,106762868.0
Detective Collection,2,0.0,0.0
Detective Conan Collection,2,0.0,0.0
Detective Dee Collection,2,124011068.0,62005534.0
Detective K Collection,2,0.0,0.0
Cross of Iron Collection,2,0.0,0.0
Eden of the East Collection,2,0.0,0.0
Election Collection,2,0.0,0.0
Freeway Collection,2,0.0,0.0
Elektra Luxx Collection,2,18107.0,9053.5
Cardcaptor Sakura Collection,2,0.0,0.0
Father of the Bride Collection,2,165904691.0,82952345.5
Captain Harlock Collection,2,17137302.0,8568651.0
Fearless Hyena Collection,2,0.0,0.0
Captain America 1979 Classic Collection,2,0.0,0.0
Feluda Collection,2,0.0,0.0
FernGully Collection,2,32710894.0,16355447.0
Fifty Shades Collection,2,949833622.0,474916811.0
Fimfárum (kolekce),2,0.0,0.0
Camp Rock Collection,2,0.0,0.0
Finding Nemo Collection,2,1968906425.0,984453212.5
Firestarter Collection,2,17080167.0,8540083.5
Calcutta Trilogy,2,0.0,0.0
Fletch Collection,2,94763848.0,47381924.0
Caddyshack Collection,2,39846344.0,19923172.0
Caballeros Collection,2,0.0,0.0
C.H.U.D. Collection,2,3412497.0,1706248.5
Flubber Collection,2,0.0,0.0
Flying Guillotine Collection,2,0.0,0.0
Burnt by the Sun Trilogy,2,2616503.0,1308251.5
Burnout Collection,2,0.0,0.0
Bummer Collection,2,1600000.0,800000.0
Fortress Collection,2,6739141.0,3369570.5
Bullit & Riper Collection,2,0.0,0.0
Bulldog Drummond (Richard Johnson) Collection,2,0.0,0.0
Carmina - Colección,2,0.0,0.0
Carrie Collection,2,51562705.0,25781352.5
Cat People Collection,2,4000000.0,2000000.0
Evil Bong Collection,2,0.0,0.0
Elite Squad Collection,2,63027681.0,31513840.5
Elizabeth Collection,2,156388205.0,78194102.5
Elling Collection,2,0.0,0.0
Emil i Lönneberga,2,0.0,0.0
Chili Palmer Collection,2,210327738.0,105163869.0
Cheaper by the Dozen Collection,2,319393943.0,159696971.5
Epoch Collection,2,0.0,0.0
Erkan & Stefan Filmreihe,2,4508104.0,2254052.0
Che Collection,2,0.0,0.0
Escape From ... Collection,2,92522065.0,46261032.5
Evangelion Collection,2,20000000.0,10000000.0
Charlotte's Web Collection,2,0.0,0.0
"Fat, Sick & Nearly Dead",2,0.0,0.0
Eye of the Dolphin Collection,2,71904.0,35952.0
"F*ck You, Goethe Collection",2,83027924.0,41513962.0
Charlie's Angels Collection,2,523281333.0,261640666.5
F/X Collection,2,20603715.0,10301857.5
Family Guy Presents Collection,2,0.0,0.0
Fanny Brice Collection,2,52223306.0,26111653.0
Fantasia Collection,2,174194570.0,87097285.0
Fantastic Four Collection,2,619627482.0,309813741.0
Cetto La Qualunque - Collezione,2,8927600.0,4463800.0
Cats & Dogs Collection,2,205858915.0,102929457.5
Cat Run Collection,2,0.0,0.0
Jeepers Creepers Collection,2,122320455.0,61160227.5
Basic Instinct Collection,2,391556702.0,195778351.0
Joe Dirt Collection,2,30987695.0,15493847.5
Manuale d'amore - Collezione,2,0.0,0.0
Airplane Collection,2,110604073.0,55302036.5
Agent Cody Banks Collection,2,87614809.0,43807404.5
Madicken,2,0.0,0.0
Afro Samurai Collection,2,0.0,0.0
Magic Mike Collection,2,289734628.0,144867314.0
Mall Cop Collection,2,290890373.0,145445186.5
Adventures of Mowgli,2,0.0,0.0
Man of Marble/Iron Collection,2,0.0,0.0
Man of Steel Collection,2,1536105712.0,768052856.0
Mannequin Collection,2,46473622.0,23236811.0
AVP Collection,2,212980929.0,106490464.5
Men in the City Collection,2,0.0,0.0
Mardock Scramble Collection,2,0.0,0.0
Marley & Me Collection,2,244082376.0,122041188.0
Masti Collection,2,47000000.0,23500000.0
A Man Called Horse Collection,2,0.0,0.0
A Haunted House Collection,2,60141683.0,30070841.5
McHale's Navy Collection,2,4529843.0,2264921.5
Mean Girls Collection,2,129042871.0,64521435.5
Mechanic Collection,2,176800442.0,88400221.0
Megazone 23 Collection,2,0.0,0.0
A Goofy Movie Collection,2,35348597.0,17674298.5
Alice in Wonderland Collection,2,1324861194.0,662430597.0
John Pinette Collection,2,0.0,0.0
All Stars Collectie,2,0.0,0.0
Machete Collection,2,46336060.0,23168030.0
Lew Harper Collection,2,12000000.0,6000000.0
Library Wars Collection,2,0.0,0.0
Like Mike Collection,2,0.0,0.0
Alone in the Dark Collection,2,10442808.0,5221404.0
Lilla Jönsonligan Collection,2,0.0,0.0
Little Forest Collection,2,0.0,0.0
Little Nicholas Collection,2,0.0,0.0
Little Witch Academia Collection,2,0.0,0.0
Almighty Collection,2,657572835.0,328786417.5
Loose Change Collection,2,0.0,0.0
Alligator Collection,2,0.0,0.0
Allan Quatermain Collection,2,238227.0,119113.5
Lotta,2,0.0,0.0
Love Hina Collection,2,0.0,0.0
Love in a... Collection,2,0.0,0.0
