productora,revenue,nro_peliculas
Eastern Productions,5864656.0,6
EDKO Film,308837170.0,6
Radar Films,0.0,6
Eyeworks Film,0.0,6
Hellenic Radio & Television (ERT),0.0,6
Potboiler Productions,123951620.0,6
Eurociné,0.0,6
Hunt Stromberg Productions,0.0,6
Ambush Entertainment,324138.0,6
Micro scope,13685753.0,6
Little Bird,419110038.0,6
Everest Entertainment,67935005.0,6
South Australian Film Corporation,44078015.0,6
Premiere Picture,7521702.0,6
Centropolis Film Productions,397578382.0,6
Templeheart Films,0.0,6
Ram Bergman Productions,89921024.0,6
Clasa Films Mundiales,0.0,6
Pupkin Film,0.0,6
Studio Filmowe Zebra,5576725.0,6
Selenia Cinematografica,0.0,6
Heretic Films,0.0,6
Linson Entertainment,66893147.0,6
Rainforest Films,444798096.0,6
Magnolia Mae Films,102436728.0,6
Eyeworks,15647609.0,6
Green Hat Films,1473742024.0,6
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,880770983.0,6
Lin Pictures,1286173303.0,6
Cerito Films,0.0,6
Caméra One,2616503.0,6
Informant Media,51681175.0,6
Aquarius Films,145355717.0,6
Filmkameratene A/S,4159678.0,6
Heimatfilm,0.0,6
"Match Factory, The",0.0,6
Farabi Cinema Foundation,0.0,6
Opus Film,15754170.0,6
Fonds National de Soutien à la Production Audiovisuelle du Luxembourg,7182.0,6
Anagram Produktion,0.0,6
Malpaso Company,247979167.0,6
Hell's Kitchen Films,66570090.0,6
Infinitum Nihil,1437617079.0,6
Walt Disney Animation Australia,245542682.0,6
Archer Gray,36648416.0,6
Robert Greenwald Productions,0.0,6
Punch Productions,390836060.0,6
Europa Corp,174476757.0,6
Pretty Pictures,64191523.0,6
Remstar Productions,31964287.0,6
Alive Films,44939181.0,6
Central Independent Television,0.0,6
Howard Productions,0.0,6
Illuminations Films,0.0,6
Office national du film du Canada (ONF),0.0,6
F Comme Film,0.0,6
British National Films,0.0,6
Chapter 2,3758328.0,6
Australian Film Commission,1258000.0,6
Finecut,3623330.0,6
Dear Film Produzione,9000000.0,6
Rizzoli Films,36782781.0,6
Turner Entertainment,0.0,6
Zentropa Productions,42070000.0,6
Central Cinema Company Film (CCC),0.0,6
Newgrange Pictures,9100000.0,6
Turman-Foster Company,23929760.0,6
Circle Films,40414628.0,6
Suomen Filmiteollisuus,0.0,6
Josephson Entertainment,720696680.0,6
Channel One Russia,72874554.0,6
Lionsgate Premiere,29614717.0,6
Lux Compagnie Cinématographique de France,0.0,6
Magic Light Pictures,3453043.0,6
Odyssey Entertainment,220719890.0,6
Allfilm,0.0,6
Strand Releasing,27769.0,6
Florentine Films,273747.0,6
Cartoon Network Studios,11411644.0,6
New Horizons Picture,0.0,6
Jouror Productions,147602887.0,6
Flower Films,132936170.0,6
Mandragora,0.0,6
Wanda Films,81170000.0,6
Silver Films,10188.0,6
Ciby 2000,22955691.0,6
Carthago Films S.a.r.l.,89222458.0,6
Toei,34000000.0,6
Etb (Euskal Telebista),2012927.0,6
Cannon Pictures,9538951.0,5
Campbell Grobman Films,14708696.0,5
Phoenix Film Investments,15298355.0,5
Campfire,28281.0,5
Peter Walker (Heritage) Ltd.,0.0,5
TV2 Norge,0.0,5
Corona Cinematografica,0.0,5
"Geffen Company, The",147477764.0,5
VIP 2 Medienfonds,75826376.0,5
Red Om Films,359500709.0,5
Chockstone Pictures,200078696.0,5
SKA Films,88054086.0,5
Bifrost Pictures,3460466.0,5
Indy Entertainment,0.0,5
Fondo para la Producción Cinematográfica de Calidad (FOPROCINE),0.0,5
Krasnaya Strela,0.0,5
BiBi Film,48125.0,5
VEB DEFA-Studio für Spielfilme,0.0,5
Fondation GAN pour le Cinéma,1794187.0,5
SLB Films,103536328.0,5
Redeemable Features,16757163.0,5
Geißendörfer Film- und Fernsehproduktion (GFF),0.0,5
Utopia Pictures,0.0,5
Inferno Distribution,176829971.0,5
Phoenician Entertainment,0.0,5
TV Asahi,0.0,5
Indion Entertainment Group,124191.0,5
Hesperia Films S.A.,0.0,5
The Saul Zaentz Company,1818456555.0,5
China Film Group,1243619728.0,5
Coproduction Office,1613024.0,5
Stellar Mega Films,5290.0,5
Film Par Film,0.0,5
Roger Birnbaum Productions,249016663.0,5
Division Films,32709291.0,5
Independent Producers,0.0,5
Hybrid,0.0,5
Lama Films,3473282.0,5
Dayday Films,543448854.0,5
Titan Productions,19658059.0,5
FishCorb Films,0.0,5
Casey Silver Productions,359117482.0,5
Studio Pierrot,0.0,5
Casablanca Filmworks,49400000.0,5
Idéale Audience,0.0,5
Sahamongkolfilm Co.,3302478.0,5
Creative England,5725239.0,5
Laika Entertainment,527116173.0,5
First Run Features,0.0,5
Crystal Sky Pictures,400167174.0,5
Larry Darmour Productions,0.0,5
Ignite Entertainment,2600000.0,5
TC Productions,1757569671.0,5
La Wallonie,4100000.0,5
Chaocorp,494210259.0,5
Five Stars Production Company,0.0,5
Radiant Productions,1413697715.0,5
Fuzzy Door Productions,766390903.0,5
Hyperion Pictures,3970078.0,5
IDT Entertainment,16627188.0,5
Seagal/Nasso Productions,159997244.0,5
Radio Télévision Suisse (RTS),126463.0,5
De Grunwald Productions,0.0,5
Flaminia Produzioni Cinematografiche,0.0,5
Timothy Burrill Productions,2994917.0,5
Start Motion Pictures,413398217.0,5
Century Films,0.0,5
Cecchi Gori Group,42637401.0,5
Crescendo Productions,101388805.0,5
Ce Qui Me Meut Motion Pictures,47277301.0,5
Radio Televisión Española (RTVE),5000000.0,5
ScreenWest,49554002.0,5
Radio Telefís Éireann (RTÉ),16388146.0,5
Ceskoslovenský Filmexport,0.0,5
Starz Animation,318568028.0,5
Furst Films,51798731.0,5
Furthur Films,212397573.0,5
La Sorcière Rouge,105090.0,5
Davis Films,404690648.0,5
La Sept,0.0,5
Submarine,0.0,5
Film House Bas Celik,0.0,5
SVT,34664.0,5
First Generation Films,31981668.0,5
Thinkfilm,7230147.0,5
Capital Films,36782781.0,5
Incendo Productions,0.0,5
TMS,862.0,5
L.I.F.T. Production,26696830.0,5
Persky-Bright Productions,0.0,5
Stéphan Films,55260558.0,5
Personafilm,0.0,5
Capella International,113390217.0,5
Capcom,99423521.0,5
Red Box Films,2957978.0,5
Red Bull Media House,0.0,5
Theo Angelopoulos Films,0.0,5
Besiktas Kültür Merkezi (BKM),13954476.0,5
Independent Pictures (II),383673371.0,5
Capitole Films,0.0,5
RAI,0.0,5
Craig Anderson Productions,0.0,5
Tokuma Shoten,0.0,5
La Parti Productions,8109160.0,5
Image Entertainment,153103689.0,5
Rastar Productions,99101867.0,5
Charles Band Productions,0.0,5
Charles K. Feldman Group,17012000.0,5
Dog Eat Dog Films,42990915.0,5
Carnaby International,25345000.0,5
La Fabrique 2,22519149.0,5
Imaj,0.0,5
TIK Films,683067263.0,5
Horizon Pictures (II),97195385.0,5
Caramel Film,8070003.0,5
Impala,1622164.0,5
Flynn Picture Company,914353058.0,5
Thirukumaran Entertainment,18300000.0,5
Seda Spettacoli,0.0,5
Capricci Films,17355.0,5
La Banque Postale Image 8,530392.0,5
Stefano Film,0.0,5
Kinowelt Filmproduktion,0.0,5
Urania Film,0.0,5
British Columbia Film,64352607.0,5
City Light Films,323173400.0,5
Tequila Gang,127009675.0,5
Centerstage Productions,24897.0,5
Tecisa,17277.0,5
Super Crispy Entertainment,4473907.0,5
Cohen Media Group,7527232.0,5
Bomar OOD,10501938.0,5
Jinks/Cohen Company,617089499.0,5
Deviant Films,0.0,5
BondIt,0.0,5
City Film,50244700.0,5
Cofinova 5,0.0,5
Cofinova 3,0.0,5
KSM Film,166775.0,5
Rook Films,3769715.0,5
Clap Filmes,15530077.0,5
Cofinova 10,305598.0,5
Bristol Bay Productions,244901709.0,5
UGC Images,27354.0,5
DJ Films,131462159.0,5
Filmcoopi Zürich,22889018.0,5
Road Movies Filmproduktion GmbH,3200000.0,5
Present Pictures,0.0,5
Prime Focus,1650127808.0,5
Rough House Pictures,37367399.0,5
Sayaka Producciones Audiovisuales,5034272.0,5
Fred Silverman Company,0.0,5
Filmpartners,282358.0,5
Blue Star Pictures,65631882.0,5
Kasdan Pictures,522217492.0,5
Blue-Tongue Films,61274076.0,5
Prime Time,530048.0,5
Teshigahara Productions,0.0,5
Fox International Productions (FIP),20381995.0,5
Polar Entertainment,8121547.0,5
Blueprint Pictures,142080351.0,5
Cinétel,0.0,5
Riva Filmproduktion,0.0,5
Broken Lizard Industries,42673986.0,5
Jesse L. Lasky Feature Play Company,137365.0,5
Price Entertainment,2807863.0,5
Rizoma Films,0.0,5
Cold Spring Pictures,353029966.0,5
Ugly Duckling Films,3504450.0,5
Da Ma Produzione,27374384.0,5
Class 5 Films,2903870.0,5
Bruin Grip Services,0.0,5
Televisión de Galicia (TVG) S.A.,44681623.0,5
Grand National Pictures,0.0,5
Twins Japan,0.0,5
Francinex,0.0,5
Cobalt Media Group,163586091.0,5
Rohfilm,0.0,5
Boyana Film,0.0,5
CoMix Wave,0.0,5
Two 4 The Money Media,0.0,5
Dharamsala,40091.0,5
Climax Films,0.0,5
Green Moon Productions,0.0,5
Brad Grey Pictures,662347581.0,5
Joseph E. Levine Productions,50750000.0,5
Rodar y Rodar Cine y Televisión,44850259.0,5
Rodeo Drive,10743767.0,5
Cloud Eight Films,202596979.0,5
Braun Entertainment Group,0.0,5
Filmhuset AS,0.0,5
Clubdeal,50871113.0,5
Telespan 2000,16044460.0,5
Twins Financing,149325477.0,5
Ponti-De Laurentiis Cinematografica,12500000.0,5
Bord Scannan na hEireann / Irish Film Board,0.0,5
Claudia Cinematografica,0.0,5
UFO International Productions,0.0,5
BorderLine Films,3538446.0,5
Brillstein-Grey Entertainment,41205099.0,5
Classic,0.0,5
KC Medien,208103823.0,5
Romanian National Center for Cinematography,145585.0,5
Greenpoint Films,13200170.0,5
UFA Fiction,0.0,5
Bosna Film,0.0,5
Claussen + Wöbke Filmproduktion GmbH,0.0,5
Prana Studios,574799091.0,5
Claussen Wöbke Putz Filmproduktion,794452.0,5
Preferred Content,2572508.0,5
K/O Paper Products,931026316.0,5
Twenty Twenty Vision Filmproduktion GmbH,2454015.0,5
Robot Communications,11212294.0,5
K. JAM Media,93820758.0,5
Telecine,1620436.0,5
Telewizja Polska,0.0,5
Filmförderung Hamburg,94383206.0,5
Keith Barish Productions,71928095.0,5
Gunn Films,698068843.0,5
Kontsept Film Company,1716861917.0,5
Prospero Pictures,42249396.0,5
Fine Arts Film Company,0.0,5
Sumitomo Corporation,18189432.0,5
Taewon Entertainment,20967660.0,5
Public Broadcasting Service (PBS),0.0,5
Tag Entertainment,3203027.0,5
Delphi III Productions,54772639.0,5
Fridthjof Film,1632.0,5
Forecast Pictures,24804129.0,5
SenArt Films,8934004.0,5
Cinegai S.p.A.,0.0,5
George Pal Productions,0.0,5
Sandstorm Films,0.0,5
Roger Corman Productions,0.0,5
Cinehaus,0.0,5
Hartbeat Productions,32230907.0,5
Studio DEEN,0.0,5
Senator International,252667461.0,5
Région Provence-Alpes-Côte d'Azur,25801714.0,5
CG Cinéma,1837577.0,5
Black Camel Pictures,0.0,5
Interfilm,0.0,5
Pulse Films,40423945.0,5
Région Poitou-Charentes,0.0,5
Reliance Big Pictures,13900000.0,5
Henson Associates (HA),129963918.0,5
Film Rites,515988195.0,5
Camelot Pictures,145254986.0,5
Helkon Media AG,0.0,5
Cine Bazar,108244858.0,5
Pygmalion Production,4814998.0,5
The New South Wales Film and Television Office,2077763.0,5
Sandbar Pictures,643557.0,5
Instinctive Film,22000.0,5
The Mount Company,75993454.0,5
Continental Motion Pictures,0.0,5
Hecht-Lancaster Productions,3000000.0,5
Kojo Pictures,56000.0,5
Koch Media,1178196.0,5
Schweizerische Radio- und Fernsehgesellschaft (SRG),0.0,5
The Mirisch Production Company,1500000.0,5
Insurgent Media,99303.0,5
Sandcastle 5 Productions,840000.0,5
Generator Entertainment,0.0,5
Knightsbridge Entertainment,179317009.0,5
Pie Films,0.0,5
Kinology,250000.0,5
Dakota Pictures,0.0,5
Block 2 Pictures,98718427.0,5
Scena Film,0.0,5
Scatena & Rosner Films,0.0,5
The Caddo Company,8600000.0,5
Bullet Films,0.0,5
Blender Foundation,0.0,5
Jaguar Productions,0.0,5
Bulbul Films,0.0,5
HBO Pictures,5844868.0,5
HBO Documentary,21350.0,5
Strix Drama AB,0.0,5
Sequoia Productions,96637565.0,5
Free Range Films,13788778.0,5
Right of Way Films,199477566.0,5
Scala Productions,0.0,5
GötaFilm AB,0.0,5
Buena Vista,350233757.0,5
Riofilme,63027681.0,5
Columbia TriStar,41636052.0,5
True Fiction Pictures,1334786.0,5
Ciné@,473683.0,5
Tapioca Films,197416743.0,5
Pinewood Pictures,19328901.0,5
Universal Home Entertainment,0.0,5
Unité Trois,0.0,5
Universal Film Manufacturing Company,400200.0,5
Harpo Films,185894873.0,5
Pierce/Williams Entertainment,16319587.0,5
Sun Entertainment Culture,0.0,5
CCC Filmkunst GmbH,0.0,5
Région Aquitaine,23598.0,5
Talkback Thames,0.0,5
Harbor Productions,1500000.0,5
Haos Film,0.0,5
Denver and Delilah Productions,113360220.0,5
Go Films,0.0,5
Istituto Luce,0.0,5
Tandem Communications,0.0,5
Pig Newton,0.0,5
The Film Consortium,14.0,5
C.B. Films S.A.,0.0,5
C-Films AG,47748.0,5
Film- und Medienstiftung NRW,250000.0,5
The Curiosity Company,0.0,5
Taodue Film,0.0,5
Dean Film,0.0,5
Silver Lion Films,64380643.0,5
Magnet Releasing,28831.0,5
Vitagraph Company of America,0.0,5
Eddie Murphy Productions,1074791459.0,5
Eddie Saeta,0.0,5
Nordisk Tonefilm,0.0,5
Vivendi Entertainment,8337978.0,5
Paper Street Films,1718920.0,5
Material Pictures,181802244.0,5
Stanley Kubrick Productions,513075436.0,5
BN Films,2801508.0,5
Aldamisa Entertainment,54430613.0,5
Eden Rock Media,88338609.0,5
Ministère de la Culture de la Republique Française,0.0,5
Nomura Babcock & Brown,141648994.0,5
Yellow Bird Films,163543497.0,5
Albina Productions S.a.r.l.,0.0,5
Downtown Filmes,0.0,5
Albatros Filmproduktion,0.0,5
Mayhem Pictures,366304481.0,5
Vista Organization,12852305.0,5
Soudaine Compagnie,0.0,5
Alameda Films,0.0,5
Norma Productions,4875316.0,5
Mascot Pictures,0.0,5
Xingu Films,10276243.0,5
Vlaams Audiovisueel fonds,32622880.0,5
Management 360,228007842.0,5
Mandalay Television,0.0,5
Woods Entertainment,217908850.0,5
Pannónia Filmstúdió,1964253.0,5
World 2000 Entertainment,377413654.0,5
Nuova Dania Cinematografica,0.0,5
Manson International,0.0,5
Les Productions Lazennec,0.0,5
Marianna Films,0.0,5
Nova,0.0,5
Echo Films,54760572.0,5
Northern Lights,0.0,5
BBC Wales,0.0,5
Alliance Entertainment,3500000.0,5
Allegro-Film,0.0,5
Martien Holdings A.V.V.,0.0,5
BCDF Pictures,12275299.0,5
Marty Katz Productions,72218117.0,5
BD Cine,25783972.0,5
Babelsberg Film,846481662.0,5
Snowfall Films,176153.0,5
Nippon Shuppan Hanbai (Nippan) K.K.,25000000.0,5
Metronome Productions,5405313.0,5
Baldwin Entertainment Group,266965119.0,5
Showgate,0.0,5
Zero One Film,148461.0,5
"Zespol Filmowy ""Perspektywa""",0.0,5
Zeta Entertainment,0.0,5
Sony Music Entertainment Japan,2725258.0,5
Abandon Pictures,643557.0,5
Aamir Khan Productions,346530000.0,5
Legacy Filmworks,0.0,5
Zik Zak Kvikmyndir,121461.0,5
New Real Films,834922.0,5
Mifune Productions Co. Ltd.,0.0,5
Pariah Entertainment Group,318880278.0,5
Bandeira Entertainment,614202.0,5
Minerva Film SpA,0.0,5
ADR Productions,0.0,5
Ministero del Turismo e dello Spettacolo,0.0,5
Société Nouvelle des Établissements Gaumont (SNEG),0.0,5
Société Parisienne de Production,30968.0,5
Vinyl Films,449138780.0,5
Eichberg-Film,0.0,5
Media House Capital,48390.0,5
Metro Communications,0.0,5
Paradox Spillefilm A/S,0.0,5
Nikolaus Geyrhalter Filmproduktion,208475.0,5
Nikola Film,0.0,5
Les Films Copernic,0.0,5
Vision PDG,19813512.0,5
Douglas Fairbanks Pictures,1213880.0,5
Night and Day Pictures,22179430.0,5
Melenny Productions,0.0,5
Les Films ABC,0.0,5
ZDF Enterprises,110493361.0,5
Memento Films International,314200.0,5
"ZRF ""Kadr""",0.0,5
Merced Media Partners,28206505.0,5
Virtual Films,10580892.0,5
Egg Pictures,124530404.0,5
Ad Hominem Enterprises,184758238.0,5
Virgin Produced,471786036.0,5
Meteor Film Productions,16136.0,5
Metheus Film,0.0,5
American Empirical Pictures,324142910.0,5
Votiv Films,3123963.0,5
Malibu Bay Films,0.0,5
Simcom Limited,17479755.0,5
Los Hooligans Productions,91525382.0,5
Atlas Independent,0.0,5
Atmo Media Network,1179676.0,5
Lions Gate Entertainments,10000000.0,5
Splendid Pictures,439729121.0,5
Low Spark Films,600896.0,5
Lion's Gate Films,0.0,5
Werc Werk Works,2152237.0,5
Fabrica,28.0,5
FR3 Films Production,1942423.0,5
Dylan Sellers Productions,221226046.0,5
Atípica Films,7556882.0,5
Lucky Monkey Pictures,42155768.0,5
FJ Filmi,0.0,5
Origin Pictures,89159469.0,5
Spice Factory,7162406.0,5
Sikelia Productions,716716903.0,5
Arena Productions,0.0,5
M&M Productions,0.0,5
Atlantis Films,0.0,5
Factor RH Producciones,30169.0,5
Whizbang Films,748453.0,5
Atlantic Releasing Corporation,14418922.0,5
Associated General Films,0.0,5
Associated British-Pathé,0.0,5
Aspen Film Society,133098251.0,5
Lleju Productions,3606395.0,5
Warp X,171760.0,5
Loew's Incorporated,33754967.0,5
Asylum Entertainment,0.0,5
Asymmetrical Productions,24641595.0,5
Warner Bros. Feature Animation,68514844.0,5
Spring Films,777285.0,5
London-Cannon Films,19300000.0,5
Warner Bros. Family Entertainment,369590759.0,5
Long Shong Pictures,14681661.0,5
Square Enix,7671460.0,5
Artists Entertainment Complex,76465856.0,5
Silverstar Ltd.,0.0,5
Waverly Films,874565765.0,5
Wayne-Fellows Productions,0.0,5
Waypoint Entertainment,88064259.0,5
Spelling Entertainment,27817080.0,5
Lightning Entertainment,0.0,5
Euroimages Fund of the Council of Europe,26193068.0,5
Panache Productions,0.0,5
Animal Logic,1432066592.0,5
Office de Radiodiffusion Télévision Française (ORTF),0.0,5
ETIC Films,130253242.0,5
Everyman Pictures,1123067543.0,5
Madman Entertainment,1192008.0,5
Angry Films,1110687906.0,5
Office Fédéral de la Culture,126463.0,5
WETA,273747.0,5
Levity Entertainment Group,0.0,5
Eagle Rock Entertainment,0.0,5
Anarchos Productions,601389739.0,5
Oceania Produzioni Internazionali Cinematografiche,0.0,5
Mainframe Entertainment,74597643.0,5
Euston Films,0.0,5
Amuse,0.0,5
Vértigo Films,21026290.0,5
Amrion,0.0,5
Majestic Filmproduktion,4548750.0,5
EuropaCorp.,3759582.0,5
Wind Dancer Productions,383318177.0,5
Evolution Entertainment,545175754.0,5
MAFILM Stúdió 1,0.0,5
Anna Sanders Films,0.0,5
One Race Films,3353871426.0,5
Autonomous Films,4388563.0,5
Apostle,500.0,5
Dreambridge Films,3350474.0,5
Wild West Picture Show Productions,651690887.0,5
Apipoulaï,86926594.0,5
Palomar Pictures (II),136373551.0,5
Wildgaze Films,112527448.0,5
ML Delphi Premier Productions,87891178.0,5
MMG Film & TV Production,0.0,5
Spectacle Entertainment Group,137284740.0,5
Antidote Films (I),41236061.0,5
Will Packer Productions,291326484.0,5
MPI Media Group,99534.0,5
Omega Entertainment,6732980.0,5
Ombra Films,120300758.0,5
Libra Pictures,0.0,5
Libra Film,0.0,5
Williams Street,0.0,5
Ministère de la Culture,7191399.0,5
Silver Nitrate,4100000.0,5
Fierce Entertainment,52808441.0,5
A.J.O.Z. Films,71462171.0,5
Mokép,0.0,5
Viacom 18 Motion Pictures,25252000.0,5
N1 European Film Produktions GmbH & Co. KG,11560806.0,5
A. Film,0.0,5
A Contracorriente Films,1440000.0,5
Fideline Films,0.0,5
Morningstar Films,0.0,5
Mobra Films,1654319.0,5
Molinare Studios,25345000.0,5
Mukta Arts Ltd,0.0,5
Barunson Film Division,32073782.0,5
21st Century Film Corporation,7537641.0,5
A.M.A. Film,5932791.0,5
Entertainment Motion Pictures,6399.0,5
360 Pictures,16783664.0,5
Lava Bear Films,258821119.0,5
Laura Ziskin Productions,2619708942.0,5
Pathé-Natan,0.0,5
Embassy Pictures,4786789.0,5
Solana Films,805752014.0,5
Movie Central,64352607.0,5
Enrique Cerezo Producciones Cinematográficas S.A.,0.0,5
Parkside Pictures,1783421.0,5
NHK Enterprises,0.0,5
Mitteldeutscher Rundfunk (MDR),0.0,5
A Private View,0.0,5
Bavaria Atelier,0.0,5
Dorje Film,17804565.0,5
1821 Pictures,55405690.0,5
Move Movie,0.0,5
Motown Productions,46803337.0,5
A-1 Pictures,0.0,5
A+E Studios,0.0,5
Ministère des Affaires étrangères et du Développement International,15870798.0,5
Nero-Film AG,0.0,5
Nero Films,0.0,5
iDeal Partners Film Fund,56404.0,5
National Lampoon Productions,527000.0,5
"Sommers Company, The",701386114.0,5
2/35,0.0,5
4 Kids Entertainment,213682991.0,5
Pathé Entertainment,45361000.0,5
3-H Films,0.0,5
National Film Development Corporation of India,77737889.0,5
42 Km Film,81806.0,5
Mitsubishi,490712884.0,5
22h22,8812494.0,5
Barclays Mercantile Industrial Finance,57118285.0,5
Pathé Films,25008837.0,5
NWR Film Productions,30638.0,5
thefyzz,10542862.0,5
Muskat Filmed Properties,2684752.0,5
First Light Production,209989682.0,4
thinkfilm,1172584396.0,4
William Conrad Productions,0.0,4
Gato Negro Films,18107.0,4
First Look Pictures,1924688.0,4
Excalibur Pictures,0.0,4
Sky Perfect Well Think,0.0,4
Impact Partners,0.0,4
Cardinal Pictures (II),0.0,4
Skydance Media,1124078180.0,4
NTR,0.0,4
uFund,279735.0,4
Corner Store Entertainment,59801559.0,4
Olive Bridge Entertainment,408260570.0,4
Imp.Ex.Ci.,0.0,4
Caramel Films,8835322.0,4
Tollin/Robbins Productions,244314789.0,4
Cold Iron Pictures,5894669.0,4
InDigEnt (Independent Digital Entertainment),3381763.0,4
SModcast Pictures,2931387.0,4
MHF Zweite Academy Film,39256534.0,4
TOEI Company,0.0,4
ApolloMovie Beteiligungs,0.0,4
ApolloProScreen Filmproduktion,98410061.0,4
Individual Pictures,0.0,4
Motto Pictures,0.0,4
EGM Film International,0.0,4
24 Mai Productions,0.0,4
Quebec Film and Television Tax Credit,62985.0,4
MFP Munich Film Partners GmbH & Company I. Produktions KG,534769782.0,4
Canal+ Espana,1705030.0,4
Canal+ Droits Audiovisuels,125822116.0,4
Canal Sur Televisión,0.0,4
Quanta Centro de Produções Cinematográficas,0.0,4
Wigram Productions,1112963854.0,4
Cannon International,0.0,4
Corsan,7517295.0,4
Aperture Entertainment,413540485.0,4
Omnilab Media,139104838.0,4
Antidote Films,4206311.0,4
Sedic,81144681.0,4
Omega Micott Inc.,0.0,4
26 Films,67689903.0,4
Independent,850994.0,4
MacGillivray Freeman Films,164047420.0,4
Garagefilm International,0.0,4
MJW Films,90058598.0,4
Wildheart Films,0.0,4
Gamechanger Films,79821.0,4
Empire Films,32788.0,4
Capacity Pictures,48418160.0,4
Sedic International,28767435.0,4
Tonic Films,30553394.0,4
MVP Films,7199773.0,4
First Point Entertainment,3450931.0,4
NTV-PROFIT,0.0,4
Oceana Media Finance,22083625.0,4
TVO,0.0,4
Eurowide Film Production,20378316.0,4
Euskal Irrati Telebisa (EITB),1819410.0,4
Generate,0.0,4
IMA Productions,0.0,4
De Passe Entertainment,0.0,4
3b productions,0.0,4
Coop99 Filmproduktion,1390172.0,4
Eve Productions,6000000.0,4
Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC),26436097.0,4
Timpson Films,7171.0,4
Flame Ventures,0.0,4
Sofica UGC 1,7356393.0,4
IMF Internationale Medien und Film GmbH & Co. Produktions KG,95366298.0,4
Anchor Bay,0.0,4
Anchor Bay Entertainment,0.0,4
Radius-TWC,13809.0,4
Moon Water Productions,0.0,4
IFC Midnight,0.0,4
Amour Fou Filmproduktion,66559.0,4
Centre Européen Cinématographique Rhône-Alpes,0.0,4
Rai 1,0.0,4
Scythia Films,40454856.0,4
SBS Independent,300000.0,4
European Co-production Fund,0.0,4
Central Motion Pictures Corporation,0.0,4
Wolper Pictures,0.0,4
Amiguetes Entertainment,15040009.0,4
Rafran Cinematografica,5321508.0,4
Wolper Organization,143598882.0,4
Central,0.0,4
Amka Films Productions,28.0,4
4 1/2 Film,0.0,4
Slingshot Productions,0.0,4
IDTV Film,0.0,4
TinRes Entertainment,56574.0,4
TVA International,0.0,4
Imagica Corp.,95789342.0,4
Canadian Film Centre (CFC),0.0,4
Maestranza Films,0.0,4
Cartoon Saloon,857522.0,4
Naked Edge Films,0.0,4
Curmudgeon Films,95714875.0,4
Illuminata Pictures,3342697.0,4
TV2,0.0,4
"Carousel Picture Company, The",45955830.0,4
ESX Productions,0.0,4
Magnum Films,0.0,4
Ognon Pictures,674918.0,4
Animus Films,13058036.0,4
ESPN films,10367161.0,4
Carnival Films,46339392.0,4
Coralta Cinematografica,0.0,4
Sancro Film,0.0,4
Imagica,0.0,4
Offhollywood Digital,0.0,4
Skyline Films,0.0,4
Casa de Cinema de Porto Alegre,0.0,4
Odessa Films,0.0,4
CatchPlay,797768828.0,4
ITVS,0.0,4
Rabinovich Film Fund Cinema Project,0.0,4
Shogakukan Production,163644662.0,4
Raaj Kamal Films International,55900000.0,4
Odeon Film,342519.0,4
Castle Hill Productions,0.0,4
Castelao Pictures,0.0,4
Castafiore Films,8218666.0,4
RTV Slovenija,0.0,4
Sweetland Films,13835130.0,4
Odeon Films,501818.0,4
Magna Global Entertainment,45000.0,4
Event Film Distribution,0.0,4
RTL,2455831.0,4
NFH Productions,47050122.0,4
Touchstone Television,0.0,4
Infinity Features Entertainment,110022566.0,4
Sahamongkol Film International,27179390.0,4
13 Productions,25461.0,4
Fuji TV,0.0,4
Lorimar Motion Pictures,28981803.0,4
Overnight Films,49653722.0,4
Creativity Capital,0.0,4
Sailor Bear,16615498.0,4
Myung Film Company,21075.0,4
Iéna Productions,0.0,4
Crest Animation Productions,39400202.0,4
Production Partners,0.0,4
Serenade Films,2373083.0,4
Mystery Clock Cinema,333327542.0,4
Production I.G,101203.0,4
Longfellow Pictures,9121925.0,4
JVC Entertainment,61186581.0,4
Itami Productions,0.0,4
Movision,92076.0,4
Jack Rollins & Charles H. Joffe Productions,80424181.0,4
Artfilm,0.0,4
Fugitive Features,1422749.0,4
Ostar Productions,0.0,4
Safehouse Pictures,146175066.0,4
Profit,7103285.0,4
GFP Medienfonds,0.0,4
Loveless,0.0,4
Profilmes,0.0,4
Isis Productions,0.0,4
CAPAC,0.0,4
Out of Africa Entertainment,0.0,4
Israel Film Fund,1775316.0,4
Create Entertainment,0.0,4
Departamento de Cultura del Gobierno Vasco,0.0,4
C.G. Silver Film,0.0,4
C.A.P.A.C.,0.0,4
Burn Later Productions,556656.0,4
Lonely Film Productions GmbH & Co. KG.,476039405.0,4
Ontario Film and Television Tax Credit (OFTTC),0.0,4
Salty Pictures,0.0,4
Films 59,0.0,4
Filmpool Stockholm Mälardalen,171340935.0,4
Buckaroo Entertainment,242611351.0,4
Prisma Film,0.0,4
Bruxelles Capitale,4100000.0,4
Principato-Young Entertainment,237878410.0,4
Brut Productions,0.0,4
Associated British Picture Corporation,0.0,4
Sofracima,0.0,4
Primex Italiana,0.0,4
Brownstone Productions,402856620.0,4
BrownHouse Productions,165335153.0,4
Crown Media Productions,0.0,4
Deutsche Film- und Fernsehakademie Berlin (DFFB),0.0,4
Silver Nitrate Films,0.0,4
Full Moon Features,0.0,4
Deuce Three Productions,96284185.0,4
